shipment_wk,shipment_dt,region,fc,sub_hub,shippingtype,isfresh,actual_packgroup,actual_boxname,sku_band,cate2,cate3,cate4,cate5,skuseq,skuname,ordernumber,invoicenumber,units
29,2023-07-16,South,DAEGU2,GWJ2 Sub-hub,OVERNIGHT,CORE,PLASTIC,RPB2.5(50),B,생활용품,방향/탈취/살충제,탈취/제습제,섬유탈취제,10787779,"페브리즈 섬유탈취제 상쾌한향 880mlx2, 1세트",31100002253649,10249157774181,1
29,2023-07-22,South,BUC1,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB 1호,B,식품,신선식품,쌀/잡곡류,백미,12623935,더담은 우리쌀 8kg,25100003021420,10249436085825,1
29,2023-07-17,South,YON1,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,출산/유아,분유,유아분유,액상분유,12118666,아인슈타인 킨더밀쉬12개월PET200mL(24입),26100002290997,10249176738754,1
29,2023-07-21,South,CHW1,GMH1 Sub-hub,SAMEDAY,CORE,PLASTIC,RPB2.5(50),B,식품,생수/음료,음료,과일음료,26691919,"돈시몬 생과일 100% 착즙 오렌지주스, 1L, 2개",14100002891606,10249387516465,2
29,2023-07-16,South,DAE6,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,D,식품,생수/음료,음료,탄산음료,33879196,[AMBEV] 브라질 국민 탄산음료 과라나 안타르치카 350ml 12캔,5100002287897,10249170962133,1
29,2023-07-20,South,YAS1,GMH1 Sub-hub,SAMEDAY,CORE,SIOC,SIOCs,A,생활용품,세제류,세탁세제류,액체 섬유유연제,13125850,다우니 엑스퍼트 실내건조 프레시 클린 플러스 초고농축 섬유유연제 본품 1.05L 3개,22100002751986,10249343283550,1
29,2023-07-19,South,CHW1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),C,주방용품,조리기구/도구,커피용품,커피필터/여과지,2347911,Pack_Comac 커피여과지 #2 400매/ 100매 4개 묶음,13100002645799,10249304794481,1
29,2023-07-16,South,CHW4,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),B,뷰티,바디케어,바디워시/스크럽/입욕용품,바디워시/클렌저,11332935,"폴메디슨 시그니처바디워시 화이트머스크,1077ml, 2개",15100002037732,10249144770830,1
29,2023-07-16,South,INC4,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,A,생활용품,세제류,주방세제류,주방식기세제,10833445,탐사 베이킹소다 주방세제 레몬향 780ml*2팩,25100002200082,10249141339032,1
29,2023-07-16,South,ANS4,GMH1 Sub-hub,STANDARD,CORE,PAPER,B46호,A,식품,신선식품,쌀/잡곡류,백미,14053015,대한농산 경기추청아끼바레 20kg 백미 20kgX1봉,31100002167566,10249126338986,1
29,2023-07-21,South,SIH2,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),B,자동차용품,차량용전자기기,스마트기기용품,차량용거치대,27615396,세이보링 대쉬보드 거치대 / 블랙,11100002918905,10249398994542,1
29,2023-07-16,South,CHW4,GMH1 Sub-hub,STANDARD,CORE,TPB,TPB 1호,B,생활용품,세제류,세탁세제류,일반세탁세제,33806774,퍼실 퓨어프레쉬 9중효소 실내건조 드럼용 2.7L,18100002226871,10249152334772,1
29,2023-07-21,South,GOY1,GMH1 Sub-hub,STANDARD,CORE,PAPER,B8호,B,뷰티,바디케어,바디워시/스크럽/입욕용품,바디워시/클렌저,12600717,탐사 촉촉한 후르츠 바디워시 900g*4,22100002979694,10249425026002,1
29,2023-07-18,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,PB1호,E,식품,생수/음료,음료,과일음료,14396990,바로푸드 베트남 레알 노니 원액 100% 500ml / 3병,18100002433336,10249227079722,1
29,2023-07-18,South,YAS1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB 3.5,B,식품,스낵/간식,스낵/시리얼,시리얼바,16717310,포스트 단백질바 500g (50g x 10) 500g 1개,4100002590745,10249278943610,5
29,2023-07-16,South,GWJ4,GWJ2 Sub-hub,STANDARD,CORE,TPB,TPB11,B,생활용품,세제류,세탁세제류,액체 섬유유연제,10165935,단품_고농축 피죤 오리지널 1L 오션후레쉬,9100002142519,10249120568853,3
29,2023-07-19,South,INC4,GMH1 Sub-hub,STANDARD,CORE,PAPER,B2호,D,도서/음반,도서,국내도서,고등참고서,31334264,2024 수능대비 마더텅 수능기출문제집 국어 화법과 작문 (2023년) 마더텅 국어영역 #OldSKU[21011543],4100002661351,10249304082706,1
29,2023-07-16,South,YON1,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,A,생활용품,화장지/제지,화장지/티슈,화장지,16222449,깨끗한나라 순수시그니처 27m 30롤,2100002165867,10249130617541,1
29,2023-07-20,South,DON1,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB 3.5,C,출산/유아,영유아안전용품,영유아안전사고방지용품,영유아머리보호대,362765,베일리바오 아기머리보호대 아이보리 F사이즈(머리둘레 43~56cm),29100002806865,10249357988833,1
29,2023-07-21,South,GMH2,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),C,식품,스낵/간식,스낵/시리얼,스낵,34971749,말년튀김건빵 100g,8100002968943,10249413568295,1
